NO,GOVNO,정류장아이디,반대편정류장아이디,목적지방향성사용여부,정류장명(국문),정류장명(영문),경도(X),위도(Y),방향(Degree),주소(국문),주소(영문),구분,사용여부,등록일자,
8006,9,남이6,남이9,N,석실리[석실리방면],Seoksil-ri [to Seoksil-ri],127.427559,36.593666,345,청주시 서원구 남이면 석실리 108-1,"108-1, Seoksil-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8007,9,남이7,남이8,N,석실리,Seoksil-ri,127.426946,36.595261,0,청주시 서원구 남이면 석실리 94-1,"94-1, Seoksil-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8008,9,남이8,남이7,N,석실리[석실방면],Seoksil-ri [to Seoksil],127.42688,36.595186,165,청주시 서원구 남이면 석실리 101-1,"101-1 Seoksil-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8009,9,남이9,남이6,Y,석실리[석실방면],Seoksil-ri [to Seoksil],127.427503,36.59336,155,청주시 서원구 남이면 석실리 226,"226, Seoksil-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8010,9,남이10,남이5,Y,석실[서원요양병원방면],Seoksil [to Seowon Nursing Hospital],127.428437,36.592113,185,청주시 서원구 남이면 석실리 522,"522 Seoksil-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8011,9,남이11,남이3,Y,서원요양병원[척북방면],Seowon Nursing Hospital [to Cheokbuk],127.428217,36.583714,215,청주시 서원구 남이면 석실리 산 47-7,"47-7, Seoksil-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8012,9,남이12,남이15,Y,척산3리[척산1리방면],Cheoksan 3-ri [to Cheoksan 1-ri],127.445203,36.562463,275,청주시 서원구 남이면 척산리 250-2,"250-2 Cheoksan-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8013,9,남이13,남이14,Y,척산1리[남이면행정복지센터방면],Cheoksan 1-ri [to Nam-myeon Welfare Center],127.440115,36.562832,255,청주시 서원구 남이면 척산리 294-2,"294-2 Cheoksan-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8014,9,남이14,남이13,Y,척산1리[척산3리방면],Cheoksan 1-ri [to Cheoksan 3-ri],127.440371,36.562626,90,청주시 서원구 남이면 척산리 384-5,"384-5 Cheoksan-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8015,9,남이15,남이12,Y,척산3리[척산3길방면],Cheoksan 3-ri [to Cheoksan 3-gil],127.446249,36.562154,95,청주시 서원구 남이면 척산리 253-3,"253-3 Cheoksan-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8016,9,남이16,남이17,Y,척산3길,Cheoksan 3-gil,127.449247,36.560479,100,청주시 서원구 남이면 척산리 905,"905 Cheoksan-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8017,9,남이17,남이16,Y,척산3리(새동네)[척산3리방면],Cheoksan 3-ri [to Cheoksan 3-ri],127.44944,36.560507,285,청주시 서원구 남이면 척산리 산 49-2,"San 49-2, Cheoksan-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8018,9,남이18,남이19,N,척산3리종점[척산1리방면],Cheoksan 3-ri terminal point,127.439921,36.563261,190,청주시 서원구 남이면 척산리 971-3,"971-3, Cheoksan-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8019,9,남이19,남이18,N,척산3리종점,Cheoksan 3-ri terminal point,127.440052,36.563449,350,청주시 서원구 남이면 척산리 387-6,"387-6 Cheoksan-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8020,9,남이20,남이22,Y,구암[상발리방면],Guam [to Sangbali],127.405356,36.590249,220,청주시 서원구 남이면 구암리 232-7,"232-7, Guam-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8021,9,남이21,남이23,Y,구암리[구암리방면],Guam-ri [to Guam-ri],127.408953,36.593664,310,청주시 서원구 남이면 구암리 262-2,"262-2, Guam-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8022,9,남이22,남이20,Y,구암[구암리방면],Guam [to Guam-ri],127.405274,36.590476,0,청주시 서원구 남이면 구암리 212-1,"212-1 Guam-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8023,9,남이23,남이21,Y,구암[상발리방면],Guam [to Sangbal-ri],127.4088,36.59367,125,청주시 서원구 남이면 구암리 257-4,"257-4, Guam-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8024,9,남이24,,N,구암리[구암방면],Guam-ri [to Guam],127.405201,36.593924,110,청주시 서원구 남이면 구암리 산 49-6,"San 49-6, Guam-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8025,9,남이25,,Y,고래기마을,Goraegi Village,127.398157,36.590638,35,청주시 서원구 남이면 구암리 325-1,"325-1 Guam-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8026,9,남이26,,Y,비룡1리[비룡2리방면],Biryong 2-ri [to Biryong 2-ri],127.379696,36.560147,315,청주시 서원구 남이면 비룡리 339,"339 Biryong-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8027,9,남이27,남이30,Y,비룡리[비룡2리방면],Biryong-ri [to Biryong 2-ri],127.379744,36.560254,260,청주시 서원구 남이면 비룡리 339,"339 Biryong-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8028,9,남이28,남이29,Y,비룡2리,Biryong 2-ri,127.378,36.56128,275,청주시 서원구 남이면 비룡리 339,"339 Biryong-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8029,9,남이29,남이28,Y,비룡2리[비룡리방면],Biryong 2-ri [to Biryong-ri],127.3778,36.56122,110,청주시 서원구 남이면 비룡리 252-3,"252-3 Biryong-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8030,9,남이30,남이27,Y,비룡리[비룡1리경로당방면],Biryong-ri [Biryong 1-ri],127.379383,36.560183,140,청주시 서원구 남이면 비룡리 276-6,"276-6 Biryong-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8031,9,남이31,남이33,N,산막리[산막리종점방면],Sanmak-ri [to Sanmak-ri terminal point],127.400534,36.552496,180,청주시 서원구 남이면 산막리 182-3,"182-3, Sanmak-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8032,9,남이32,,N,산막리종점,Sanmak-ri terminal point,127.400047,36.548577,220,청주시 서원구 남이면 산막리 564,"564 Sanmak-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8033,9,남이33,남이31,N,산막리[갈원리방면],Sanmak-ri [to Galwon-ri],127.40062,36.552503,340,청주시 서원구 남이면 산막리 181-2,"181-2 Sanmak-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8034,9,남이34,,N,상발리[구암방면],Sangbal-ri [to Guam],127.403359,36.587476,350,청주시 서원구 남이면 상발리 산 12-19,"12-19 Sangbal-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8035,9,남이35,,Y,상발리[청신운수방면],Sangbal-ri [to Cheongsin Transportation],127.403216,36.587698,240,청주시 서원구 남이면 상발리 71-3,"71-3 Sangbal-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8036,9,남이36,남이42,Y,상발리[청신운수방면],Sangbal-ri [to Cheongsin Transportation],127.400654,36.58704,245,청주시 서원구 남이면 상발리 55-6,"55-6 Sangbal-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8037,9,남이37,남이38,Y,양절[갈원리(용담골)방면],Yangjeol [to Galwon-ri (Yongdamgol)],127.395412,36.579793,210,청주시 서원구 남이면 상발리 192-2,"192-2 Sangbal-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8038,9,남이38,남이37,Y,양절[상발리방면],Yangjeol [to Sangbal-ri],127.395516,36.579776,30,청주시 서원구 남이면 상발리 264,"264 Sangbal-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8039,9,남이39,,Y,상발리[구뜸방면],Sangbal-ri [to Gutteum],127.403096,36.587465,70,청주시 서원구 남이면 상발리 75,"75 Sangbal-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8040,9,남이40,,Y,청신운수[고래기마을방면],Cheongsin Transportation [to Goraegi Village],127.393631,36.587118,45,청주시 서원구 남이면 상발리 261,"261 Sangbal-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8041,9,남이41,,Y,진다리[청신운수방면],Jinda-ri [to Cheongsin Transportation],127.391257,36.585709,85,청주시 서원구 남이면 상발리 261,"261 Sangbal-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8042,9,남이42,남이36,Y,상발리[구암방면],Sangbal-ri [to Guam],127.400807,36.586964,60,청주시 서원구 남이면 상발리 52-4,"52-4 Sangbal-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8043,9,남이43,남이44,Y,사동리[삼포아파트방면],Sadong-ri [to Sampo Apartment],127.416973,36.568917,55,청주시 서원구 남이면 사동리 49-3,"49-3, Sadong-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8044,9,남이44,남이43,Y,사동1리(등등이)[사동2리방면],Sadong 1-ri (deungdeung-i) [to Sadong 2-ri],127.416278,36.568695,225,청주시 서원구 남이면 사동리 295,"295 Sadong-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8045,9,남이45,남이55,Y,사동2리[갈원리방면],Sadong 2-ri [to Galwon-ri],127.409283,36.567075,290,청주시 서원구 남이면 사동리 130-1,"130-1 Sadong-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8046,9,남이46,남이50,Y,팔봉1리[중뜸방면],Palbong 1-ri [to Jungtteum],127.411732,36.57807,315,청주시 서원구 남이면 팔봉리 255-5,"255-5, Palbong-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8047,9,남이47,남이4,Y,석실리[서원요양병원방면],Seoksil-ri [To Seowon Nursing Hospital],127.428837,36.589728,350,청주시 서원구 남이면 석실리 273-7,"273-7, Seoksil-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8048,9,남이48,남이53,Y,구뜸[팔봉2리방면],Gutteum [to Palbong 2-ri],127.409259,36.582236,170,청주시 서원구 남이면 팔봉리 42-3,"42-3, Palbong-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8049,9,남이49,남이52,Y,팔봉2리[팔봉1리방면],Palbong 2-ri [to Palbong 1-ri],127.409224,36.579408,170,청주시 서원구 남이면 팔봉리 100-4,"100-4 Palbong-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8050,9,남이50,남이46,Y,팔봉1리[사동2리방면],Palbong 1-ri [to Sadong 2-ri],127.411803,36.577738,150,청주시 서원구 남이면 팔봉리 259-1,"259-1, Palbong-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8051,9,남이51,,Y,중뜸[팔봉2리방면],Jungtteum [to Palbong 2-ri],127.411192,36.578443,275,청주시 서원구 남이면 팔봉리 산 33-7,"33-7 Palbong-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8052,9,남이52,남이49,Y,팔봉2리[구뜸방면],Palbong 2-ri [to Gutteum],127.409355,36.579254,0,청주시 서원구 남이면 팔봉리 산 33-7,"33-7 Palbong-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8053,9,남이53,남이48,Y,구뜸[상발리방면],Gutteum [to Sangbal-ri],127.409371,36.582328,335,청주시 서원구 남이면 팔봉리 42-3,"42-3, Palbong-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8054,9,남이54,남이58,Y,갈원1리[갈원리방면],Galwon 1-ri [to Galwon-ri],127.393531,36.568547,60,청주시 서원구 남이면 갈원리 74-3,"74-3, Galwon-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8055,9,남이55,남이45,Y,사동2리[사동리방면],Sadong 2-ri [to Sadong-ri],127.40834,36.566995,95,청주시 서원구 남이면 사동리 산 22-3,"San 22-3, Sadong-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8056,9,남이56,남이60,Y,갈원리[갈원초등학교방면],Galwon-ri [to Galwon Elementary School],127.403057,36.56797,280,청주시 서원구 남이면 갈원리 207-4,"207-4, Galwon-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8057,9,남이57,남이59,Y,갈원초등학교[갈원1리방면],Galwon Elementary School [to Galwon 1-ri],127.397248,36.568042,265,청주시 서원구 남이면 갈원리 74-3,"74-3, Galwon-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8058,9,남이58,남이54,Y,갈원1리[구미리방면],Galwon 1-ri [to Gumi-ri],127.39359,36.568696,230,청주시 서원구 남이면 갈원리 74-3,"74-3, Galwon-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8059,9,남이59,남이57,Y,갈원초등학교[갈원리방면],Galwon Elementary School [to Galwon-ri],127.396662,36.567895,85,청주시 서원구 남이면 갈원리 74-3,"74-3, Galwon-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8060,9,남이60,남이56,Y,갈원리[사동2리방면],Galwon-ri [to Sadong 2-ri],127.403003,36.567889,105,청주시 서원구 남이면 갈원리 207-4,"207-4, Galwon-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8061,9,남이61,남이62,Y,갈원리[갈원1리방면],Galwon-ri [to Galwon 1-ri],127.394499,36.571383,230,청주시 서원구 남이면 갈원리 92-2,"92-2, Galwon-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8062,9,남이62,남이61,Y,갈원리[갈원리(용담골)방면],Galwon-ri [to Galwon-ri (Yongdamgol)],127.394743,36.571374,50,청주시 서원구 남이면 갈원리 92-2,"92-2, Galwon-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8063,9,남이63,남이66,Y,갈원리(용담골)[갈원리방면],Galwon-ri (Yongdamgol) [to Galwon-ri],127.395999,36.576248,180,청주시 서원구 남이면 갈원리 308-1,"308-1 Galwon-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8064,9,남이64,남이65,Y,갈원리[산막리방면],Galwon-ri [to Sanmak-ri],127.401429,36.563611,145,청주시 서원구 남이면 갈원리 293-3,"293-3, Galwon-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8065,9,남이65,남이64,Y,갈원리[사동2리방면],Galwon-ri [to Sadong 2-ri],127.401546,36.563628,335,청주시 서원구 남이면 갈원리 293-3,"293-3, Galwon-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8066,9,남이66,남이63,Y,갈원리(용담골)[양절방면],Galwon-ri (Yongdamgol) [to Yangjeol],127.396104,36.576248,0,청주시 서원구 남이면 갈원리 3-4,"3-4 Galwon-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8067,9,남이67,남이68,Y,구미리[갈원1리방면],Gumi-ri [to Galwon 1-ri],127.389929,36.566639,45,청주시 서원구 남이면 구미리 282-53,"282-53, Gumi-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8068,9,남이68,남이67,Y,구미리[비룡리방면],Gumi-ri [to Biryong-ri],127.389667,36.566525,185,청주시 서원구 남이면 구미리 147-4,"147-4, Gumi-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8069,9,남이69,남이70,Y,부용외천3리.양지말,"Buyong Oecheon 3-ri, Yangjimal",127.429961,36.541933,175,청주시 서원구 남이면 부용외천리 1110,"1110 Buyong Oecheon-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8070,9,남이70,남이69,Y,부용외천1리.외천초교[부용외천2리방면],Oecheon Elementary School,127.430285,36.541588,355,청주시 서원구 남이면 부용외천리 258-5,"258-5 Buyong Oecheon-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8071,9,남이71,남이72,Y,척산4리[남이외천삼거리.외천3리방면],Cheoksan 4-ri,127.43068,36.562459,170,청주시 서원구 남이면 척산리 645-14,"645-14, Cheoksan-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8072,9,남이72,남이71,Y,척산4리(장들)[척산4리방면],Cheoksan 4-ri (Jangdeul) [to Cheoksan 4-ri],127.430981,36.561793,355,청주시 서원구 남이면 척산리 949-3,"949-3, Cheoksan-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8073,9,남이73,남이74,Y,척산4리[삼포아파트방면],Cheoksan 4-ri [to Sampo Apartment],127.430677,36.56316,350,청주시 서원구 남이면 척산리 949-4,"949-4 Cheoksan-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
8074,9,남이74,남이73,Y,척산4리[남이외천삼거리(외천3리)방면],Cheoksan 4-ri [to Nami Oecheon Intersection],127.430463,36.563293,170,청주시 서원구 남이면 척산리 637-13,"637-13 Cheoksan-ri, Nam-myeon, Seowon-gu",기존정류장,,2023-10-17,남이
